parentProtocolSlug,amountUsd,name,childSlugs
block-analitica,22907350.97226324,['Block Analitica'],['block-analitica']
bucket-protocol,22466320.35664595,"['Bucket CDP', 'Bucket Farm']","['bucket-cdp', 'bucket-farm']"
bob-bridge,21874656.498916365,['BOB Bridge'],['bob-bridge']
tectonic,21387945.080149528,['Tectonic'],['tectonic']
blackhole,20527012.16519545,"['Blackhole CLMM', 'Blackhole AMM']","['blackhole-clmm', 'blackhole-amm']"
lagoon,19903913.824513234,['Lagoon'],['lagoon']
axelar-network,19192889.89713761,['Axelar'],['axelar']
drift,18912370.1243342,['Drift Trade'],['drift-trade']
pancakeswap,18416061.822762933,"['PancakeSwap AMM', 'PancakeSwap AMM V3', 'PancakeSwap StableSwap', 'PancakeSwap Infinity', 'PancakeSwap Options']","['pancakeswap-amm', 'pancakeswap-amm-v3', 'pancakeswap-stableswap', 'pancakeswap-infinity', 'pancakeswap-options']"
upshift,18143219.356946137,['Upshift'],['upshift']
starknet-bridge,17740981.900195252,['Starknet Bridge'],['starknet-bridge']
sailor,16695924.1627549,['Sailor'],['sailor']
lfj,16024443.766375042,"['Joe V2.2', 'Joe DEX', 'Joe V2.1', 'Joe Lend', 'Joe V2']","['joe-v2.2', 'joe-dex', 'joe-v2.1', 'joe-lend', 'joe-v2']"
yearn,15374618.559737857,"['Yearn Finance', 'Yearn Curating']","['yearn-finance', 'yearn-curating']"
terminal-finance-pre-deposits,14682121.57121246,['Terminal Finance Pre-Deposits'],['terminal-finance-pre-deposits']
linea-bridge,13422330.403009709,['Linea Bridge'],['linea-bridge']
tranchess,13324300.879253084,['Tranchess Yield'],['tranchess-yield']
verus-market,13314194.9820633,['Verus Market'],['verus-market']
unichain-bridge,13248075.20648976,['Unichain Bridge'],['unichain-bridge']
frankencoin,13240329.16126728,['FrankenCoin'],['frankencoin']
9summits,13190367.37031082,['9Summits'],['9summits']
dolomite,12984151.624294763,['Dolomite'],['dolomite']
world-chain,12382248.375656249,['World Chain'],['world-chain']
mellow-protocol,12217500.748300122,"['Mellow LRT', 'Mellow Yield']","['mellow-lrt', 'mellow-yield']"
momentum,12142094.810848542,['Momentum'],['momentum']
