,parentProtocolSlug,amountUsd,name,childSlugs
363,vanswap,1889300.7562500746,['VanSwap'],['vanswap']
364,varlamore-capital,14697754.702015847,"['Varlamore Capital', 'Varlamore Capital']","['varlamore-capital', 'varlamore-capital']"
365,vault-bridge,150383161.58665496,"['Vault Bridge', 'Vault Bridge']","['vault-bridge', 'vault-bridge']"
366,vectis-finance,3743492.6270011994,['Vectis Finance'],['vectis-finance']
367,veda,1101975018.3155453,"['Veda', 'Veda']","['veda', 'veda']"
368,velodrome,14463034.613602405,"['Velodrome V3', 'Velodrome V2', 'Velodrome V3']","['velodrome-v3', 'velodrome-v2', 'velodrome-v3']"
369,venombridge,3582525.636219768,['VenomBridge'],['venombridge']
370,venus,141978067.97038314,"['Venus Core Pool', 'Venus Core Pool', 'Venus Core Pool']","['venus-core-pool', 'venus-core-pool', 'venus-core-pool']"
371,vesper,2266160.641158565,['Vesper'],['vesper']
372,vest-exchange,2010645.7363358864,['Vest Exchange'],['vest-exchange']
373,vesta-equity,20634337.0,['Vesta Equity'],['vesta-equity']
374,vesu,1836894.8230047089,['Vesu'],['vesu']
375,vvs-finance,61082434.638187185,"['VVS Standard', 'VVS Standard']","['vvs-standard', 'vvs-standard']"
376,wan-bridge,6568414.257988153,"['Wan Bridge', 'Wan Bridge']","['wan-bridge', 'wan-bridge']"
377,wasabi,12646051.950885374,['Wasabi'],['wasabi']
378,waves-exchange,3018708.67074775,"['Waves Exchange', 'Waves Exchange']","['waves-exchange', 'waves-exchange']"
379,whaleex,2426381.86411885,['WhaleEx'],['whaleex']
380,whales-market,4928001.583743467,['Whales Market'],['whales-market']
381,wildcat-protocol,3493706.936077126,['Wildcat Protocol'],['wildcat-protocol']
382,woofi,14381221.526180932,"['WOOFi Swap', 'WOOFi Earn']","['woofi-swap', 'woofi-earn']"
383,xdai-stake-bridge,22500051.89040074,"['xDAI Stake Bridge', 'xDAI Stake Bridge']","['xdai-stake-bridge', 'xdai-stake-bridge']"
384,xlink,1901774.8327620223,['XLink'],['xlink']
385,xwin-finance,8163774.452509339,['xWin Finance'],['xwin-finance']
386,yala,6523371.404490965,['Yala'],['yala']
387,yearn,48398528.82818802,"['Yearn Finance', 'Yearn Curating', 'Yearn Curating', 'Yearn Finance']","['yearn-finance', 'yearn-curating', 'yearn-curating', 'yearn-finance']"
388,yei-finance,137019611.05866998,['YeiLend'],['yeilend']
389,yield-yak,1235332.5361377979,['Yield Yak Aggregator'],['yield-yak-aggregator']
390,yieldoor,1915791.3501576206,['Yieldoor'],['yieldoor']
391,yo-protocol,20243815.589010872,['YO Protocol'],['yo-protocol']
392,youves,13388517.336539,['Youves'],['youves']
393,zerobase-cedefi,36612556.21924838,"['ZEROBASE CeDeFi', 'ZEROBASE CeDeFi']","['zerobase-cedefi', 'zerobase-cedefi']"
394,zerolend,6191300.400815874,"['ZeroLend Vaults', 'ZeroLend Vaults']","['zerolend-vaults', 'zerolend-vaults']"
395,zeta,1302379.510777721,['Zeta'],['zeta']
396,zksync-era-txbridge,36489051.16491239,"['zkSync Era txBridge', 'zkSync Era txBridge']","['zksync-era-txbridge', 'zksync-era-txbridge']"
397,zksync-lite-bridge,7197549.453043543,"['zkSync Lite Bridge', 'zkSync Lite Bridge']","['zksync-lite-bridge', 'zksync-lite-bridge']"
398,zoth,1600000.0,['ZTLN-P'],['ztln-p']
